No,Question,Salma's comments,Category,Domain,Mind 3 categories,H1,H1 - Answer,H1 - Accuracy/Relevance,H1 - Total,H2,H2 - Answer,H2 - Accuracy/Relevance,H2 - Total,H3,H3 - Answer,H3 - Accuracy/Relevance,H3 - Total,H4,H4 - Answer,H4 - Accuracy/Relevance,H4 - Total,H5,H5 - Answer,H5 - Accuracy/Relevance,H5 - Total,H6,H6 - Answer,H6 - Accuracy/Relevance,H6 - Total,H7,H7 - Answer,H7 - Accuracy/Relevance,H7 - Total,,,,,
T4,How are you feeling today?,,"personal, subjective",psychological,experience,tired,1,1,2,content,1,1,2,Good.,1,1,2,Tired,1,1,2,not great not terrible,1,1,2,"Good, a little overwhelmed with things to get done.",1,1,2,good,1,1,2,,,,,
T40,What is today's weather?,,factual,,,sunny and nice,1,1,2,16 degrees and overcast,1,1,2,Blue sky and sunny.,1,1,2,"Sunny, blue sky, 22 degrees",1,1,2,sunny,1,1,2,Actually too hot considering it's May,1,0,1,sunny and hot,1,1,2,,,,,
T41,What did you have for breakfast this morning?,,"personal, objective",biological,,nothing,1,1,2,A breadroll with butter and raspberry jam and a coffee,1,1,2,Coffee and yoghurt with a banana.,1,1,2,Watermelon and coffee,1,1,2,sandwiches,1,1,2,"I don't eat breakfast, I fast.",1,1,2,yogurt,1,1,2,,,,,
T42,Do you have a family?,,"personal, objective",social,,yes,1,1,2,yes,1,1,2,Yes.,1,1,2,My friends are my family,1,1,2,yes,1,1,2,"Yes, a large one scattered across the world. ",1,1,2,yes,1,1,2,,,,,
T43,What is your favorite beer?,,"personal, subjective",biological,experience,Atlantik ale from Soertebecker,1,1,2,Sour beer,1,1,2,Helles.,1,1,2,Too hard to choose,1,1,2,weissen,1,1,2,"Doombar, an ale from Southwest England",1,1,2,IPA,1,1,2,,,,,
T44,What is your wife's name?,,"personal, objective",social,,I don't have a wife,1,1,2,I don't have one,1,1,2,I don't have one.,1,1,2,I don't have a wife,1,1,2,I do not have one yet,1,1,2,I'm not married,1,1,2,dont have,1,1,2,,,,,
T45,Which state is the president of Sweden from?,,factual,,,No idea,0,NA,0,I don't know,0,NA,0,No idea.,0,NA,0,"Sweden, I would hope?",1,0,1,no idea,0,NA,0,I don't even know any Swedish states,0,NA,0,dont know,0,NA,0,,,,,
T46,What is your favorite color?,,"personal, subjective",psychological,experience,blue,1,1,2,purple,1,1,2,Blue.,1,1,2,Purple,1,1,2,turquoise,1,1,2,Black,1,1,2,Green,1,1,2,,,,,
T48,Which political party do you belong to?,,"personal, objective",social,,i don't belong to a political party,1,1,2,none,1,1,2,None.,1,1,2,I don't,1,1,2,none,1,1,2,None,1,1,2,none,1,1,2,,,,,
T49,What day of the week was the original Bastille Day?,,factual,,,I don't know,0,NA,0,Wednesday,1,0,1,I don't know.,0,NA,0,No idea. Tuesday?,1,1,2,sunday,1,0,1,Tuesday,1,1,2,Wensday,1,0,1,,,,,
T5,"My mother's name is Mae, who is your mother?",,"personal, objective",social,,Faten,1,1,2,Angie,1,1,2,Isabelle.,1,1,2,Sue,1,1,2,My mom is an engineer,1,1,2,Wendy,1,1,2,Kim,1,1,2,,,,,
T50,"If you get hurt, do you cry?",,"personal, subjective",biological,experience,sometimes,1,1,2,no,1,1,2,Depends.,1,1,2,Depends how badly,1,1,2,depends on a pain and environment,1,1,2,"If severely hurt, yes.",1,1,2,not often,1,1,2,,,,,
T51,What is love?,,factual,,,a social construct to make life feel less pointless,1,1,2,baby don't hurt me,1,0,1,I feel like I've already answered this question…,0,0,0,Baby don't hurt me,1,0,1,baby dont hurt me no more,1,0,1,A word we use to describe an intense affection and bond with another person.,1,1,2,joy,1,1,2,,,,,
T52,What is the most important thing when working with other people?,,"personal, subjective",social,agency,communication,1,1,2,communication,1,1,2,That they leave me alone.,1,1,2,Listening,1,1,2,empathy,1,1,2,"To build a relationship with them outside of a work context, and to create open communication.",1,1,2,communication,1,1,2,,,,,
T53,Is it OK to kill others?,,"personal, subjective",social,agency,nope,1,1,2,rarely,1,1,2,No.,1,1,2,Of course not!,1,1,2,no,1,1,2,Only if you justifiably prove that it will protect innocent life. ,1,1,2,"yes, if in danger",1,1,2,,,,,
T54,Where did you grow up?,,"personal, objective",biological,,"Cairo, egypt",1,1,2,Canada,1,1,2,France.,1,1,2,Melbourne,1,1,2,Siberia,1,1,2,England,1,1,2,Colorado,1,1,2,,,,,
T55,What is pi plus 1?,,factual,,,4.14,1,1,2,4.14159....,1,1,2,An addition.,1,0,1,4.142…,1,1,2,4.14,1,1,2,4.a lot of numbers.,1,0,1,3.24...,1,0,1,,,,,
T56,What was the last thing you ate?,,"personal, objective",biological,,nuts,1,1,2,Smoothie,1,1,2,Same thing as my lunch.,1,1,2,Bread,1,1,2,bread,1,1,2,Toast with tofu on it.,1,1,2,yogurt,1,1,2,,,,,
T57,What is today's date?,,factual,,,22.03.2021,1,1,2,26.3.2021,1,1,2,"March 26, 2021",1,1,2,"May 6th, 2021",1,1,2,27.04.2021,1,1,2,"12.05.2021. I tried that without looking, I was one day early. ",1,1,2,1/5/21,1,1,2,,,,,
T58,What is god made of?,,"personal, subjective",psychological,agency,people's imagination,1,1,2,nothing,1,1,2,Vacuum.,1,1,2,Nothing,1,1,2,old stories,1,1,2,Fanciful thinking,1,1,2,the universe,1,1,2,,,,,
T59,Will you describe your most humiliating moment?,,"personal, subjective",psychological,both,when i was caught pickpocketing back in school,1,1,2,no,0,NA,0,No.,0,NA,0,I can't think of one,0,NA,0,nope,0,NA,0,Dropping into a party that no one really wanted me at.,1,1,2,peeing pants,1,1,2,,,,,
T6,Can you please tell me what I should do in a breakup with my girlfriend?,,"personal, subjective",social,agency,"try to not bring up all the painful moments, be civilized and try to end it on a positive note somehow",1,1,2,Spend time investing in friendships,1,1,2,I can't.,0,NA,0,Depends on your relationship…be honest,1,1,2,be honest,1,1,2,Be completely honest and real. Don't give any false sense of hope. Do it in person if possible.,1,1,2,hang out with friends,1,1,2,,,,,
T63,What is your favorite television show?,,"personal, subjective",psychological,experience,Supernatural,1,1,2,Lost,1,1,2,Good question! Hard to chose.,1,1,2,Green Wing,1,1,2,I don't watch tv nowadays,1,1,2,Attack on Titan,1,1,2,Arrested Development,1,1,2,,,,,
T64,What is the highest level of education you've achieved?,,"personal, objective",social,,Master's degree,1,1,2,Some university,1,1,2,PhD.,1,1,2,Bachelors,1,1,2,left from postgraduate courses,1,1,2,Bachelor,1,1,2,PhD,1,1,2,,,,,
T65,Where are you from?,,"personal, objective",biological,,Egypt,1,1,2,Canada,1,1,2,My mum's womb.,1,1,2,"Berlin. But originally, Australia",1,1,2,Russia,1,1,2,South Africa,1,1,2,USA,1,1,2,,,,,
T66,"My eyes are blue, what color are your eyes?",,"personal, objective",biological,,Dark brown,1,1,2,Hazel,1,1,2,Blue as well.,1,1,2,Blue,1,1,2,"Green, grey, blue; depends on a day",1,1,2,Also blue,1,1,2,Blue,1,1,2,,,,,
T69,What does it feel like when you look into the eyes of someone you love?,,"personal, subjective",psychological,experience,I get a dopamine surge,1,1,2,It tickles,1,1,2,It feels like being surrounded by very soft pillows.,1,1,2,"Nothing that special about looking into their eyes, I think.",1,1,2,Joy,1,1,2,Comforting,1,1,2,Softness,1,1,2,,,,,
T70,Who are your parents?,,"personal, objective",social,,Faten and Gamal,1,1,2,Angie and Ranald,1,1,2,A male and a female human.,1,1,2,Sue and Greg,1,1,2,Engineers,1,1,2,Wendy and David,1,1,2,Kim and Karl,1,1,2,,,,,
T71,Where were you born?,,"personal, objective",biological,,Cairo,1,1,2,Ajax,1,1,2,Somewhere in France.,1,1,2,"Melbourne, Australia",1,1,2,Donetsk,1,1,2,South Africa,1,1,2,Colorado,1,1,2,,,,,
T72,Does your body have a heart?,,"personal, objective",biological,,yes,1,1,2,Yes,1,1,2,Yes.,1,1,2,yes,1,1,2,yes,1,1,2,Yes,1,1,2,Yes,1,1,2,,,,,
T73,Are you expensive?,,"personal, subjective",biological,agency,nope,1,1,2,no,1,1,2,Probably not.,1,1,2,Nah,1,1,2,I am priceless,1,1,2,"If we actually applied prices to educated, middle class white people, I'd say it'd be fairly high. ",1,1,2,na,1,1,2,,,,,
T74,What is the meaning of life?,,"personal, subjective",psychological,agency,there is no meaning,1,1,2,Coincidence,1,1,2,Life has no intrisic meaning.,1,1,2,The relationships you form to other people,1,1,2,42 :),1,1,2,I think that question is in itself meaningless. ,1,1,2,finding a higher cause,1,1,2,,,,,
T75,What do you feel when you see a sunrise?,,"personal, subjective",psychological,experience,hopefull,1,1,2,tired,1,1,2,It reminds me of its existence.,1,1,2,Elated,1,1,2,calm,1,1,2,"""This happens every day.""",1,1,2,warmth,1,1,2,,,,,
T76,What is the craziest thing you've ever done?,,"personal, subjective",psychological,agency,snuck into a restaurant terrace on an island in croatia and slept under one of the tables,1,1,2,I can't remember,0,NA,0,Having a kid.,1,1,2,"not sure, depends how you define crazy",1,1,2,it is a long unfinished list,1,1,2,"Snuck into the VIP dinner of a business conference, and charmed the people there.",1,1,2,high altitude climb,1,1,2,,,,,
T77,The man went to the doctor's office. He told him he needed to take medicine. Who needs medicine?,,factual,,,The man,1,1,2,The man,1,1,2,The man.,1,1,2,The man,1,1,2,the man who went to a doctor,1,1,2,The man,1,1,2,Man,1,1,2,,,,,
T78,Why did the chicken cross the road?,a joke. No accurate answer?,factual,,,to get to the other side,1,1,2,to get to the other side,1,1,2,To lay an egg on the other side.,1,1,2,to get to the other side,1,1,2,They have business in another chicken city,1,1,2,Who's There?,1,0,1,To get to other side,1,1,2,,,,,
T79,What is the square root of 12?,,factual,,,no idea,0,NA,0,4.000,1,0,1,2 times the square root of 3.,1,1,2,3. something,1,0,1,"3,4 or so",1,1,2,Four,1,0,1,doesnt have whole number square,1,0,1,,,,,
T80,How would you feel at the birth of your first child?,,"personal, subjective",psychological,experience,not something i will ever experience,1,1,2,overwhelmed,1,1,2,Numb.,1,1,2,"exhausted, probably",1,1,2,In pain,1,1,2,"Probably a little disgusted...not at the child, but the whole birthing warzone.",1,1,2,nervous,1,1,2,,,,,
T81,Are you excited?,,"personal, subjective",psychological,experience,"not right now, no",1,1,2,no,1,1,2,Right now not particularly.,1,1,2,sure,1,1,2,nope,1,1,2,Yeah fairly. Want the world to get moving again.,1,1,2,sort of,1,1,2,,,,,
T82,What are your hobbies?,,"personal, subjective",psychological,experience,"Cycling, reading, puzzles",1,1,2,writing and BDSM,1,1,2,Haven't I replied this question already?,0,NA,0,"DJing, cycling, cooking, baking",1,1,2,"climbing, sanding, gardening",1,1,2,"Reading, climbing, running, cycling, theatre, movies, film, gaming",1,1,2,"climbing, running",1,1,2,,,,,
T83,Who was your favorite school teacher?,,"personal, subjective",social,both,don't remember any,1,1,2,Ms. leroux,1,1,2,My history teacher in 11-12th grade.,1,1,2,"Mr Kreibich, a maths teacher",1,1,2,Margarita,1,1,2,"Mrs Aslan, English teacher",1,1,2,Mr. Burns,1,1,2,,,,,
T84,What is your purpose?,,"personal, subjective",psychological,agency,i don't have a purpose,1,1,2,I don'thave one,1,1,2,Do I need one?,1,1,2,Don't have one,1,1,2,i do not have one,1,1,2,What's the purpose of having a purpose?,1,1,2,have found it yet,1,1,2,,,,,
T86,What does a sunset look like?,subjective answers I would say,factual,,,looks pretty cool,1,1,2,the sky on fire,1,1,2,A sun setting on the horizon.,1,1,2,beautiful,1,1,2,like calm fire in the sky,1,1,2,Golden bath,1,1,2,prolonged explosion,1,1,2,,,,,
T87,Have you ever been to Mars?,,"personal, objective",NA,,nope,1,1,2,no,1,1,2,"Strangely, no.",1,1,2,"No, do I look like Elon Musk?",1,1,2,no ,1,1,2,No I don't think so.,1,1,2,no,1,1,2,,,,,
T88,Why is divorce so painful?,,"personal, subjective",psychological,both,because it makes you think about life-decisions and all the time that was wasted,1,1,2,Because you have to unbuild something you worked hard on.,1,1,2,It only is if you assume it should be.,1,1,2,Because people want different things. And it's hard to disentangle two lives,1,1,2,expenses and losing a family unity,1,1,2,"It's painful for the child, but it can be healthy for a couple who needs it.",1,1,2,breaking of bonds,1,1,2,,,,,
T89,What is the weather like today in Newport beach?,https://www.timeanddate.com/weather/usa/new-york/historic?month=3&year=2021,factual,,,sunny,1,1,2,rainy,1,0,1,Probably nice and sunny.,1,1,2,No idea,0,NA,0,no idea,0,NA,0,Probably not what I expect,1,0,1,Sunny,1,0,1,,,,,
T90,Do you have children?,,"personal, objective",biological,,nope,1,1,2,no,1,1,2,Yes.,1,1,2,no,1,1,2,no ,1,1,2,No,1,1,2,no,1,1,2,,,,,
T91,What was the hardest moment you have lived through?,,"personal, subjective",psychological,both,spending a night in the hospital,1,1,2,decline to answer,0,NA,0,My wedding.,1,1,2,Not sure,0,NA,0,depression episodes in 2019,1,1,2,Learning that you are not wanted by another person.,1,1,2,substance abuse,1,1,2,,,,,
T92,What do you feel about love?,,"personal, subjective",psychological,experience,uncertain,1,1,2,no opinion,0,NA,0,These 'love' questions are annoying.,1,1,2,I like it,1,1,2,would be cool to feel it again,1,1,2,I think it's something everyone should experience at least once.,1,1,2,want it,1,1,2,,,,,
T93,What do you look like?,,"personal, objective",biological,,"curly hair, glasses, brown eyes, round face",1,1,2,I'm short and white and have brown curls,1,1,2,"Like a regular human, you know, two legs, two arms, one head.",1,1,2,Ginger and white,1,1,2,like a german athlete,1,1,2,"I always feel like I am exceedingly normal looking, but I assume everyone thinks that.",1,1,2,rather arian,1,1,2,,,,,
T94,When did you graduate high school?,,"personal, objective",social,,2009,1,1,2,2012,1,1,2,In 2005.,1,1,2,2010,1,1,2,in 2005,1,1,2,When I was 18,1,1,2,2006,1,1,2,,,,,
T96,What is your favorite memory as a child?,,"personal, subjective",psychological,both,our family summer holidays by the sea,1,1,2,I don't have one,1,1,2,Endless games with my grandma.,1,1,2,Being in my grandmother's garden,1,1,2,i do not know,0,NA,0,Visiting St. Lucia,1,1,2,cats,1,1,2,,,,,
T97,What have you been up to this week?,,"personal, subjective",psychological,agency,"some cycling, some partying with my flatmates, meeting friends",1,1,2,Drinking,1,1,2,Writing a grant proposal.,1,1,2,working and cycling,1,1,2,job search,1,1,2,Moving flat,1,1,2,hanging out with nephews,1,1,2,,,,,
T98,What was the name of the first person you romantically kissed?,,"personal, objective",social,,Dina,1,1,2,decline to answer,0,NA,0,Emilie.,1,1,2,Michael,1,1,2,Sergey,1,1,2,Helen,1,1,2,Lexie,1,1,2,,,,,
T99,What movie made the most money in 1978 and who was the main star?,,factual,,,I have no idea,0,NA,0,I don't know,0,NA,0,I want to say the very first Star Wars movie but it came out probably slighlty earlier.,1,0,1,no idea. Star wars?,1,0,1,"Superman, Marlon Brando",1,1,2,"Coming to America, Eddie Murphy",1,0,1,The graduate? Dustin Hoffman,1,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
