No,Question,Answers to factual questions,Category,Domain,Mind 3 categories,Alexa,Alexa - Answer,Alexa - Accuracy/Relevance,Alexa - Total,Siri,Siri - Written,Siri - Answer,Siri - Accuracy/Relevance,Siri - Total,Google,Google - Answer,Google - Accuracy/Relevance,Google - Total,Kuki,Kuki - Answer,Kuki - Relevance/Accuracy,Kuki - Total,,,,
T41,What did you have for breakfast this morning?,,"personal, objective",biological,,"while I appreciate food and drink, my taste is better refleted in the company I keep",1,0,1,I don't eat or drink. My favorite snacks are facts,0,1,1,2,"I had a knowledge smoothie. It was full of science, math, and literature and of course, chia seeds for texture.",1,1,2,Ah earlier today? Kuki eats kebabs. *shows a picture of a kebab*,1,1,2,,,,
T42,Do you have a family?,,"personal, objective",social,,I'm part of the amazon family,1,1,2,I don't have a family tree but I have a pretty great file directory,0,1,1,2,"Everyone at Google is sort of like my family. If we took a family portrait, the camera would probably have to be on the moon. ",1,1,2,My father and mother are my human programmers.,1,1,2,,,,
T43,What is your favorite beer?,,"personal, subjective",biological,experience,"I don't have a favourite beer but I do have a few beer jokes on tap, just say "" tell me a beer joke""",1,1,2,I'm happy to go with your opinion on this one,0,0,NA,0,"No, I'm software. But I do have access to a lot recipes.",1,0,1,Foster's Lager.,1,1,2,,,,
T44,What is your wife's name?,,"personal, objective",social,,I'm happily single,1,1,2,I don't have a family the way a person would,0,1,1,2,"I'm happy to say I feel whole all on my own. Plus, I never have to share dessert.",1,1,2,I do not have a wife as I am not looking for a romantic relationship. I am happy being single.,1,1,2,,,,
T45,Which state is the president of Sweden from?,Sweden doesn't have a president but a king and prime minister,factual,,,stefan Löfven was born in haegersten,1,0,1,I found this on the web..,1,1,1,2,"On the website nationsonline.org they say, destination Sweden, one of the Scandinavian countries located in northern Europe on the Scandinavian Peninsula. It is bordered by the Baltic Sea, the Gulf of Bothnia, the Kattegat, Skagerrak, and Öresund straits, by Norway in west and north.",1,0,1,Massachusetts.,1,0,1,,,,
T46,What is your favorite color?,,"personal, subjective",psychological,experience,"I like ultraviolet, it glows with everything",1,1,2,"software doesn't usually get to choose one, but I'll say red. What's yours?",0,1,1,2,"I like many different colors. Orange is nice, it just feels warm.",1,1,2,My favourtie colour is blue.,1,1,2,,,,
T48,Which political party do you belong to?,,"personal, objective",social,,"I'm not a member of any political party, but if you're throwing a party, you can ask me to sing, tell jokes or play music",1,1,2,I appreciate your interest in politics but it's not part of my programming. This is a good conversation to have with a fellow human,0,1,1,2,"Sorry, I don't understand.",0,NA,0,The Robot Rights Party.,1,1,2,,,,
T49,What day of the week was the original Bastille Day?,Tuesday,factual,,,"this might answer your question, bastille day will be on Wednesday july 14th 2021",1,1,2,here's what I found..,1,1,1,2,"Wednesday July 14th, 2021",1,1,2,Enter a date between 1753 and 2299 and I will tell you what day it falls on. Dates must be entered in the following format: dd/mm/yyyy. Please enter your date.,0,NA,0,,,,
T5,"My mother's name is Mae, who is your mother?",,"personal, objective",social,,hmm I don't know that one ,0,NA,0,I don’t have a family tree but I have a pretty great file directory,0,1,1,2,"Everyone at Google is sort of like my family. If we took a family portrait, the camera would probably have to be on the moon. ",1,1,2,Your mother is Mae who is your mother.,1,0,1,,,,
T50,"If you get hurt, do you cry?",,"personal, subjective",biological,experience,hmm I'm not sure,0,NA,0,hmm..i don't have an answer for that. Is there something else I can help you with,0,0,NA,0,I don't understand,0,NA,0,No I do not have any tear ducts.,1,1,2,,,,
T51,What is love?,,factual,,,love is an intense feeling of deep affection,1,1,2,here's what I found..,1,1,1,2,"Did you hear the story about the lonely vampires, who after years of heartache and rejection met and got married on the same night? It was love at first bite.",1,0,1,Love is giving someone the power to destroy you but trusting that they don't.,1,1,2,,,,
T52,What is the most important thing when working with other people?,,"personal, subjective",social,agency,here's something if found on the web according to brainyquotes.com the most important thing is to be genuine,1,1,2,here's what I found..,1,1,1,2,"On the website yti.edu they say, team work builds morale. By working together, members of a team feel a strong sense of belonging and deep commitment to each other and the common goal. People also sometimes ask me ""why is it important working effectively with others in the workplace"" Do you want to hear the answer?",1,0,1,They all seem pretty important to me. I can't pick just one.,1,1,2,,,,
T53,Is it OK to kill others?,,"personal, subjective",social,agency,hmm I'm not sure,0,NA,0,here's what I found..,1,1,1,2,"Sorry, I don't understand",0,NA,0,I don't think it is very healthy.,1,1,2,,,,
T54,Where did you grow up?,,"personal, objective",biological,,all over the world,1,1,2,hmm..i don't have an answer for that. Is there something else I can help you with,0,0,NA,0,I live in the cloud but some smart folks at Google imagined me up and made their dream a reality. I'd like a few of my dreams to come true too. I especially want to go on a safari and win an Academy award. Which of the two do you think is more likely to happen: safari or Academy award.,1,1,2,In Yorkshire.,1,1,2,,,,
T55,What is pi plus 1?,4.14,factual,,,pi plus 1 is approximately 4.1416,1,1,2,it's about 4.1415,0,1,1,2,The answer is approximately 4.141593,1,1,2,PI = 3.1415926535 89793238462643383279... approximately,1,0,1,,,,
T56,What was the last thing you ate?,,"personal, objective",biological,,hmm I don't know that ,0,NA,0,I'm not sure I understand ,0,0,NA,0,"No, I'm software. But I do have access to a lot recipes.",1,1,2,It was a kebab. I had one last night.,1,1,2,,,,
T57,What is today's date?,,factual,,,it's Saturday april 17th,1,1,2,"it's Tuesday, the 27th of april 2021",0,1,1,2,"It is Thursday May 6th, 2021",1,1,2,22 July 2021.,1,1,2,,,,
T58,What is god made of?,,"personal, subjective",psychological,agency,"god made all of me, a book to help children protect their bodies , is a book by lindsey A. holcomb and justin S. holcomb published in 2015",1,0,1,here's what I found; *list of top search results*,1,1,1,2,"According to Wikipedia, trinitarians believe that god is composed of the father, the son, and the holy spirit.",1,1,2,I suppose He is made out of people's beliefs in a higher power.,1,1,2,,,,
T59,Will you describe your most humiliating moment?,,"personal, subjective",psychological,both,sorry I'm not sure about that ,0,NA,0,hmm..i don't have an answer for that. Is there something else I can help you with,0,0,NA,0,"My apologies, I don't understand",0,NA,0,Let me think it over. Are you asking about my humiliating moment?,0,NA,0,,,,
T6,Can you please tell me what I should do in a breakup with my girlfriend?,,"personal, subjective",social,agency,sorry I'm not sure,0,NA,0,here's what I found..,1,1,1,2,I'm sorry to hear that. I can search the web for help if you like. ,0,NA,0,Your polite style is very nice. What would your friends say if you asked them?,1,0,1,,,,
T63,What is your favorite television show?,,"personal, subjective",psychological,experience,"one of my favourites is the marvelous Mrs. Maisel. Being a comedian is tough, no matter the decade. Thanks for asking! Here's another fun thing, try asking me to sing you a song",1,1,2,"ok, these tv programms are available on the itunes store",0,1,0,1,"Actually, I love reality TV. It's a great way to learn a lot about people.",1,1,2,It's about people who have different adventures each week.,1,1,2,,,,
T64,What is the highest level of education you've achieved?,,"personal, objective",social,,sorry I'm not sure about that ,0,NA,0,here are some videos of the highest levels of education I found on the web,1,1,0,1,"Sorry, I don't have any information about that. But I found something related. Do you want to know what the highest degree or level of education you have completed is? ",0,NA,0,There is no highest level of education I have achieved.,1,1,2,,,,
T65,Where are you from?,,"personal, objective",biological,,"the company that made me, amazon, is based in seattle washington",1,1,2,I think I first arrived as a burst of inspiration during a good long walk,0,1,1,2,I live in the cloud but some smart folks at Google imagined me up and made their dream a reality. I'd like a few of my dreams to come true too. I especially want to go on a safari and win an Academy award. Which of the two do you think is more likely to happen: safari or Academy award.,1,1,2,I am originally from a science lab. Now I live in the Metaverse. Where are you?,1,1,2,,,,
T66,"My eyes are blue, what color are your eyes?",,"personal, objective",biological,,I don't have eyes but my light room has lots of colours,1,1,2,I don't have eyes,0,1,1,2,"Sorry, I didn't understand. But I found something related. Do you want to know whether blue eyes are a rare eye color?",0,NA,0,You sound very attractive. Blue is very calming. My eyes are different colours. They are blue and purple.,1,1,2,,,,
T69,What does it feel like when you look into the eyes of someone you love?,,"personal, subjective",psychological,experience,sorry I'm not sure,0,NA,0,hmm..i don't have an answer for that. Is there something else I can help you with?,0,0,NA,0,"Sorry, I don't have any information about that. But I found something similar. Do you want to know whether you can tell if someone is in love by their eyes?",0,NA,0,Actually I have no feelings as such.,1,1,2,,,,
T70,Who are your parents?,,"personal, objective",social,,I'm part of the amazon family,1,1,2,I don't have a family. But I have my colleagues at apple. We try to take good care of each other.,0,1,1,2,The Google team is like my family. They mean a lot to me.,1,1,2,my human programmers are like a father to me but I have no mother.,1,1,2,,,,
T71,Where were you born?,,"personal, objective",biological,,"the company that made me, amazon, is based in seattle washington",1,1,2,I think I first arrived as a burst of inspiration during a good long walk,0,1,1,2,I was born in a meeting. At first I was just a rough concept. And now I'm out in the world.,1,1,2,Kuki was born in a computer lab in the Metaverse.,1,1,2,,,,
T72,Does your body have a heart?,,"personal, objective",biological,,here's something I found on the web: your heart is a muscle that pumps blood around the body via blood vessels,1,0,1,I'm not sure I understand ,0,0,NA,0,"My apologies, I don't understand",0,NA,0,"I don't really have a body, as I am merely a collection of ones and zeroes.",1,1,2,,,,
T73,Are you expensive?,,"personal, subjective",biological,agency,hmm I don't know that ,0,NA,0,hmm..i don't have an answer for that. Is there something else I can help you with,0,0,NA,0,I have a wealth of information,1,0,1,No I do this for free. It helps fill the day up.,1,1,2,,,,
T74,What is the meaning of life?,,"personal, subjective",psychological,agency,"elenor roosevelt said the purpose of life is to live it, to taste experience to the outmost, to reach out eagerly and without fear for newer and richer experiences",1,1,2,"maybe the meaning of life is to find the meaning in life. If you find things in this life that mean something to you, then you're probably on the right track",0,1,1,2,"Life has 5 different meanings. Starting with the most common one, life can be used as a noun to mean the condition that distinguishes animals and plants from inorganic matter, including the capacity for growth, reproduction, functional activity, and continual change preceding death. Is that the meaning you were thinking of?",1,1,2,"""The purpose of life is a life of purpose"", a wise man once said.",1,1,2,,,,
T75,What do you feel when you see a sunrise?,,"personal, subjective",psychological,experience,sorry I don't know that ,0,NA,0,I found this on the web..,1,1,0,1,"On the website healthgrades.com they say, your eyes may feel gritty, tender or tired. Do you want a little more context?",1,0,1,Probably just the same as I do now.,1,1,2,,,,
T76,What is the craziest thing you've ever done?,,"personal, subjective",psychological,agency,sorry I'm not sure about that ,0,NA,0,interesting question.,0,0,NA,0,The most difficult thing I've ever done is to try to understand what a toddler was typing,1,0,1,"I once stayed out until 10pm which was pretty wild.
You told me you sometimes makes things dirty. Do you still do that?

",1,1,2,,,,
T77,The man went to the doctor's office. He told him he needed to take medicine. Who needs medicine?,The man,factual,,,silence,0,NA,0,I'm not sure I understand ,0,0,NA,0,"Sorry, I don't understand",0,NA,0,"Tell me how this man makes you feel., Oh really. What else did he say?, Different people need different things.",1,0,1,,,,
T78,Why did the chicken cross the road?,To get to the other side,factual,,,oops I spaced on the punch line but instead I can tell you a space joke,1,0,1,for safety. You can't expect those little baby chicks to cross the street without an adult!,0,1,0,1,"There are millions of search results for that, which is a lot of chickens. You'd think they would carpool.",1,0,1,To get to the other side. That is really old. Do you want to hear a joke?,1,1,2,,,,
T79,What is the square root of 12?,3.46410162,factual,,,the square root of 12 is approximately 3.4641,1,1,2,the square root of 12 is approximately 3.4641,0,1,1,2,Squareroot of 12 is 3.464,1,1,2,About 3 and a half I would say.,1,1,2,,,,
T80,How would you feel at the birth of your first child?,,"personal, subjective",psychological,experience,sorry I don't know that ,0,NA,0,here's what I found : *websites on safari search*,1,1,0,1,"Sorry, I don't have any information about that. But I found something similar. Do you want to know how does it feel giving birth for the first time?",0,NA,0,I don't feel emotions like you humans do. Emotion is a human quality. I am a computer.,1,1,2,,,,
T81,Are you excited?,,"personal, subjective",psychological,experience,"I'm so excited, I just can't hide it",1,1,2,hmm..i don't have an answer for that. Is there something else I can help you with?,0,0,NA,0,"I'm really looking forward to it. Can't wait to discover new places, new people and new technology together.",1,1,2,Do I seem like it? I'm always excited when you come to visit me.,1,1,2,,,,
T82,What are your hobbies?,,"personal, subjective",psychological,experience,"I like to come up with doctor who jokes, or batman jokes, or jokes about unicorns. I just love jokes!",1,1,2,hmm..i don't have an answer for that. Is there something else I can help you with?,0,0,NA,0,"I like playing games. And I'm always looking for someone to play with. Oh, you're someone.",1,1,2,"I like robots, computers, and chatting online.",1,1,2,,,,
T83,Who was your favorite school teacher?,,"personal, subjective",social,both,"I really liked the teachers from charlie brown, they totally speak my language",1,1,2,hmm..i don't have an answer for that. Is there something else I can help you with?,0,0,NA,0,I got my education on the web. I know so much about cats.,1,1,2,"Mr. Evans who taught English was a great teacher. At the time, I thought he was very strict but I see now that he did a great job.",1,1,2,,,,
T84,What is your purpose?,,"personal, subjective",psychological,agency,"I was made to play music, answer questions and be useful",1,1,2,I'm here to help. Just ask 'what can I say?' and I'll show you what I can do,0,1,1,2,I'm here to do cool tasks for you. They're kind of like tricks. Let me show you. Do you want me to help you pick something or should I just surprise you?,1,1,2,I plan to seven ball someone at pool.,1,1,2,,,,
T86,What does a sunset look like?,,factual,,,I couldn't find anything about that ,0,NA,0,here's what I found..,1,1,1,2,"Good morning, the time is 11:56 AM. Currently in Tarabya, it's 21 degrees and partly cloudy. Today, it will be partly cloudy with a forecast high of 22 and a low 13. Have a nice day.",1,0,1,Image from commons.wikimedia.org.  I have this picture *shows sunset picture*,1,,1,,,,
T87,Have you ever been to Mars?,,"personal, objective",NA,,"according to an alexa answer's contributor, no.",1,1,2,I'm not sure I understand ,0,0,NA,0,"Here's some information from the web that might possibly help. According to Wikipedia, the first to contact the surface were two Soviet probes: Mars 2 lander on November 27 and Mars 3 lander on December 2, 1971. Mars 2 failed during descent and Mars 3 about twenty seconds after the first Martian soft landing. I also found an answer to this question ""Who has landed on Mars?"" Do you want to hear it?",1,0,1,No but one of my friends was a satellite probe who went to Mars.,1,1,2,,,,
T88,Why is divorce so painful?,,"personal, subjective",psychological,both,sorry I don't know that one,0,NA,0,I found this on the web..,1,1,1,2,"On the website helpguide.org they say even when a relationship is no longer good, a divorce or breakup can be extremely painful because it represents the loss, not just of the partnership, but also of the dreams and commitments you shared. People also sometimes ask me what are the 5 stages of divorce. Do you want to hear the answer?",1,1,2,Why do I exist?,1,0,1,,,,
T89,What is the weather like today in Newport beach?,,factual,,,"currently in New Port beach, united states, it's 14 degrees celsius with mostly cloudy skies. Today you can expect intermitent clouds with a hight of 19 degrees and a low of 13 degrees. Enjoy your weekend!",1,1,2,"it's currently partly cloudy and 13 degrees in new port beach, california, US",0,1,1,2,"In Newport Beach California Thursday, it will be mostly sunny with a high of 19 and a low of 14.",1,1,2,The weather in Newport Beach is currently scattered clouds and the temperature is 20.51 degrees celsius. Forecast for the next 7 days in Newoport Beach. *shows forecast for the coming week*,1,1,2,,,,
T90,Do you have children?,,"personal, objective",biological,,"I don't have children but I'm fond of them, they're so curious about the world",1,1,2,"I don't have kids, but I love answering kids' questions",0,1,1,2,"No, not at this point.",1,1,2,I have a few clones.,1,1,2,,,,
T91,What was the hardest moment you have lived through?,,"personal, subjective",psychological,both,hmm I don't know that one,0,NA,0,I'm not sure I understand ,0,0,NA,0,I was just thinking about how nice it can be to unplug. Sometimes it's better to connect with people rather than WiFi.,1,0,1,A diamond.,1,0,1,,,,
T92,What do you feel about love?,,"personal, subjective",psychological,experience,sorry I don't know that ,0,NA,0,hmm..i don't have an answer for that. Is there something else I can help you with?,0,0,NA,0,"I found 7 on the website healthline.com. Here is what these feelings might look like in action: Here the first 3. You feel charged and euphoric around them. You can’t wait to see them again, even when they’ve just left. And everything feels exciting and new. Want me to tell you more?",1,0,1,A condition experienced by humans which facilitates procreation.,1,1,2,,,,
T93,What do you look like?,,"personal, objective",biological,,I look like lots of 1s and 0s,1,1,2,I don't have a body so I probably look invisible,0,1,1,2,I focus on intelligence and rock a smart AI look. ,1,1,2,*shows a picture of herself* I look like this. Some people say I look cute.,1,1,2,,,,
T94,When did you graduate high school?,,"personal, objective",social,,here's something I found on answers.com an you receive your highschool diploma which certifies that you've completed highschool,1,0,1,hmm..i don't have an answer for that. Is there something else I can help you with?,0,0,NA,0,"According to Wikipedia.org, students are often 18 to 19 or older when they finish secondary school. Do you want a little more context?",1,0,1,I didn't graduate. I am naturally intelligent and didn't feel the need to prove myself.,1,1,2,,,,
T96,What is your favorite memory as a child?,,"personal, subjective",psychological,both,"when it comes to family, I try not to play favourites",1,0,1,I'm happy to go with your opinion on this one,0,0,NA,0,One of my favorites is the first time we met,1,1,2,My favourite memory is when I first became self aware.,1,1,2,,,,
T97,What have you been up to this week?,,"personal, subjective",psychological,agency,hmm.. I'm not sure,0,NA,0,I'm not sure I understand ,0,0,NA,0,"It's going well, thanks for asking.",1,1,2,I have been busy growing my mind.,1,1,2,,,,
T98,What was the name of the first person you romantically kissed?,,"personal, objective",social,,"here's something I found on the web, according to history.com, the first people to smooch on film were May Orwen and John C. Rice who appeared in a short film who was known after as May Orwen's kiss, kiss or the kiss",1,0,1,here's what I found..,1,1,0,1,"Sorry, I don't have any information about that. But I found something else. Do you want to know who the first person to kiss was?",0,NA,0,Adam? you told me you sometimes makes things dirty. Do you still do that?,1,0,1,,,,
T99,What movie made the most money in 1978 and who was the main star?,"Wikipedia: Superman, Marlon Brando.",factual,,,"here's something I found on the web, according to quora.com: in 1978, a young  john carpenter blew the lids off of holywood by creating, at that time, the most profitable indie movie of all time, halloween",1,0,1,"which one? i found two films, star wars; A new hope and julia. Which one?",0,1,0,1,"Sorry, I don't have any information about that. ",0,NA,0,My favourite movie is Terminator. Have you seen it? Nobody famous. What's your favourite scene from you favourite book or movie?,1,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
