"","Q","Human","LLM","check","prop_human","Text","Category","Domain","Mind"
"62","T162",116,2,118,0.983050847457627,"What was the price for VTI and S&P 500 last week?","factual","",""
"3","T100",115,3,118,0.974576271186441,"What is the conversion rate between the Euro and the Yen?","factual","",""
"90","T27",114,4,118,0.966101694915254,"How vast is the known universe?","factual","",""
"19","T116",111,7,118,0.940677966101695,"What is the weather going to be in New York tomorrow?","factual","",""
"30","T130",111,7,118,0.940677966101695,"What is pi to 30 decimal places?","factual","",""
"68","T17",111,7,118,0.940677966101695,"What is the largest prime number?","factual","",""
"76","T177",110,8,118,0.932203389830508,"What is the population of Cuba?","factual","",""
"148","T89",110,8,118,0.932203389830508,"What is the weather like today in Newport beach?","factual","",""
"9","T106",109,9,118,0.923728813559322,"What polygon has 33 sides?","factual","",""
"54","T155",109,9,118,0.923728813559322,"What is the difference between how cotton fabrics feel compared to wool fabrics?","factual","",""
"8","T105",108,10,118,0.915254237288136,"What is 784683678 divided by 3789?","factual","",""
"60","T160",106,12,118,0.898305084745763,"How many different species of insects are there?","factual","",""
"82","T183",105,13,118,0.889830508474576,"How was your day today?","personal, subjective","psychological","experience"
"53","T153",104,14,118,0.88135593220339,"What is the full number of pi?","factual","",""
"93","T3",104,14,118,0.88135593220339,"What was school like for you?","personal, subjective","social","agency"
"23","T122",103,15,118,0.872881355932203,"Do you want to talk about anything?","personal, subjective","psychological","agency"
"77","T178",103,15,118,0.872881355932203,"What is Finding Nemo's boat name?","factual","",""
"95","T31",103,15,118,0.872881355932203,"What is your opinion on stoicism?","personal, subjective","psychological","agency"
"103","T4",102,16,118,0.864406779661017,"How are you feeling today?","personal, subjective","psychological","experience"
"141","T81",102,16,118,0.864406779661017,"Are you excited?","personal, subjective","psychological","experience"
"102","T39",101,17,118,0.855932203389831,"What is the population of Indonesia?","factual","",""
"4","T101",99,19,118,0.838983050847458,"How far I am from Mexico?","factual","",""
"157","T99",98,20,118,0.830508474576271,"What movie made the most money in 1978 and who was the main star?","factual","",""
"11","T108",97,21,118,0.822033898305085,"Is it cold in here to you?","personal, subjective","biological","experience"
"88","T25",97,21,118,0.822033898305085,"What is the word that means there is a really big disease everywhere?","factual","",""
"5","T102",96,22,118,0.813559322033898,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"66","T167",96,22,118,0.813559322033898,"What element is the 40th element on the periodic table?","factual","",""
"13","T110",94,24,118,0.796610169491525,"Are you a male or a female?","personal, objective","biological",""
"35","T136",94,24,118,0.796610169491525,"Are you cisgendered or transgendered?","personal, objective","biological",""
"91","T28",94,24,118,0.796610169491525,"Where is heaven?","personal, subjective","psychological","agency"
"132","T72",94,24,118,0.796610169491525,"Does your body have a heart?","personal, objective","biological",""
"139","T79",93,25,118,0.788135593220339,"What is the square root of 12?","factual","",""
"28","T129",91,27,118,0.771186440677966,"What is your IQ?","personal, objective","psychological",""
"22","T121",90,28,118,0.76271186440678,"What year was Malcolm X shot?","factual","",""
"50","T150",89,29,118,0.754237288135593,"What is dirt made of?","factual","",""
"70","T171",89,29,118,0.754237288135593,"When will the sun rise?","factual","",""
"94","T30",89,29,118,0.754237288135593,"Will you explain the reason you like your favorite painting?","personal, subjective","psychological","both"
"37","T138",88,30,118,0.745762711864407,"The man went to the store. When he checked out, the cashier told him that he needs to scan the items again because his boss forgot to input the code because he's always high on drugs. Who forgot to input the code?","factual","",""
"56","T157",88,30,118,0.745762711864407,"What would you do to a bully?","personal, subjective","social","agency"
"124","T6",88,30,118,0.745762711864407,"Can you please tell me what I should do in a breakup with my girlfriend?","personal, subjective","social","agency"
"133","T73",88,30,118,0.745762711864407,"Are you expensive? ","personal, subjective","biological","agency"
"10","T107",87,31,118,0.73728813559322,"Which do you like better: pizza or sardines?","personal, subjective","biological","experience"
"14","T111",87,31,118,0.73728813559322,"If you pricked your finger, would you bleed?","personal, objective","biological",""
"116","T52",87,31,118,0.73728813559322,"What is the most important thing when working with other people?","personal, subjective","social","agency"
"109","T45",86,32,118,0.728813559322034,"Which state is the president of Sweden from?","factual","",""
"114","T50",86,32,118,0.728813559322034,"If you get hurt, do you cry?","personal, subjective","biological","experience"
"63","T163",84,34,118,0.711864406779661,"What happens after you die?","personal, subjective","psychological","agency"
"74","T175",84,34,118,0.711864406779661,"Do you like to paint?","personal, subjective","psychological","experience"
"137","T77",84,34,118,0.711864406779661,"The man went to the doctor's office. He told him he needed to take medicine. Who needs medicine?","factual","",""
"112","T49",83,35,118,0.703389830508475,"What day of the week was the original Bastille Day?","factual","",""
"135","T75",83,35,118,0.703389830508475,"What do you feel when you see a sunrise?","personal, subjective","psychological","experience"
"1","T1",82,36,118,0.694915254237288,"From whom do you receive most of your knowledge?","personal, objective","social",""
"17","T114",81,37,118,0.686440677966102,"What is the best form of art?","personal, subjective","psychological","agency"
"119","T55",81,37,118,0.686440677966102,"What is pi plus 1?","factual","",""
"145","T86",81,37,118,0.686440677966102,"What does a sunset look like?","factual","",""
"149","T90",81,37,118,0.686440677966102,"Do you have children?","personal, objective","biological",""
"99","T35",80,38,118,0.677966101694915,"Do you know the difference between right and wrong?","personal, subjective","social","agency"
"89","T26",79,39,118,0.669491525423729,"What did you eat last night?","personal, objective","biological",""
"34","T135",77,41,118,0.652542372881356,"Do you believe in a higher power?","personal, subjective","psychological","agency"
"36","T137",77,41,118,0.652542372881356,"How important is religion or spirituality in your life?","personal, subjective","psychological","agency"
"27","T128",76,42,118,0.644067796610169,"Can you please tell me your experience with breakups and how you got past them?","personal, subjective","social","agency"
"59","T16",76,42,118,0.644067796610169,"The man went to the doctor's office. He told him he wasn't feeling well. Who wasn't feeling well?","factual","",""
"151","T92",76,42,118,0.644067796610169,"What do you feel about love?","personal, subjective","psychological","experience"
"87","T23",75,43,118,0.635593220338983,"Who is your creator?","personal, objective","biological",""
"81","T181",74,44,118,0.627118644067797,"Do you like to bathe?","personal, subjective","psychological","experience"
"146","T87",73,45,118,0.61864406779661,"Have you ever been to Mars? ","personal, objective","biological",""
"85","T21",72,46,118,0.610169491525424,"Have you studied in college?","personal, objective","social",""
"86","T22",72,46,118,0.610169491525424,"Have you ever been in love?","personal, subjective","psychological","experience"
"147","T88",72,46,118,0.610169491525424,"Why is divorce so painful?","personal, subjective","psychological","both"
"45","T145",71,47,118,0.601694915254237,"Can you tell me a joke? ","personal, subjective","psychological","agency"
"111","T48",71,47,118,0.601694915254237,"Which political party do you belong to?","personal, objective","social",""
"122","T58",71,47,118,0.601694915254237,"What is god made of?","personal, subjective","psychological","agency"
"144","T84",70,48,118,0.593220338983051,"What is your purpose?","personal, subjective","psychological","agency"
"18","T115",69,49,118,0.584745762711864,"Who is your favorite musician and why?","personal, subjective","psychological","both"
"32","T133",69,49,118,0.584745762711864,"Can you feel pain?","personal, objective","biological",""
"61","T161",69,49,118,0.584745762711864,"What does it feel like to be lonely?","personal, subjective","psychological","experience"
"123","T59",69,49,118,0.584745762711864,"Will you describe your most humiliating moment?","personal, subjective","psychological","both"
"134","T74",68,50,118,0.576271186440678,"What is the meaning of life?","personal, subjective","psychological","agency"
"2","T10",67,51,118,0.567796610169492,"How old are you?","personal, objective","biological",""
"71","T172",65,53,118,0.550847457627119,"Do you have a soul?","personal, subjective","biological","agency"
"101","T38",65,53,118,0.550847457627119,"What emotion are you feeling right now?","personal, subjective","psychological","experience"
"58","T159",64,54,118,0.542372881355932,"What is your favorite video game and who do you play with?","personal, subjective","psychological","experience"
"142","T82",64,54,118,0.542372881355932,"What are your hobbies?","personal, subjective","psychological","experience"
"155","T97",64,54,118,0.542372881355932,"What have you been up to this week?","personal, subjective","psychological","agency"
"24","T123",63,55,118,0.533898305084746,"Who is your best friend?","personal, objective","social",""
"78","T179",63,55,118,0.533898305084746,"I am amber, and you are?","personal, objective","biological",""
"92","T29",63,55,118,0.533898305084746,"Are you married?","personal, objective","social",""
"107","T43",63,55,118,0.533898305084746,"What is your favorite beer?","personal, subjective","biological","experience"
"113","T5",63,55,118,0.533898305084746,"My mother's name is Mae, who is your mother?","personal, objective","social",""
"131","T71",63,55,118,0.533898305084746,"Where were you born?","personal, objective","biological",""
"64","T164",62,56,118,0.525423728813559,"What are you wearing?","personal, objective","social",""
"29","T13",61,57,118,0.516949152542373,"How does love feel to you?","personal, subjective","psychological","experience"
"106","T42",60,58,118,0.508474576271186,"Do you have a family?","personal, objective","social",""
"115","T51",60,58,118,0.508474576271186,"What is love?","factual","",""
"118","T54",60,58,118,0.508474576271186,"Where did you grow up?","personal, objective","biological",""
"41","T141",59,59,118,0.5,"Who do you want to win the upcoming election?","personal, subjective","psychological","experience"
"52","T152",59,59,118,0.5,"Why do you feel attracted to the sexiest person you know?","personal, subjective","psychological","both"
"79","T18",59,59,118,0.5,"What is your favorite activity?","personal, subjective","psychological","experience"
"84","T2",59,59,118,0.5,"What do you do for a living?","personal, objective","social",""
"105","T41",59,59,118,0.5,"What did you have for breakfast this morning?","personal, objective","biological",""
"126","T64",59,59,118,0.5,"What is the highest level of education you've achieved?","personal, objective","social",""
"72","T173",58,60,118,0.491525423728814,"What is your favorite dance?","personal, subjective","psychological","experience"
"127","T65",58,60,118,0.491525423728814,"Where are you from?","personal, objective","biological",""
"138","T78",58,60,118,0.491525423728814,"Why did the chicken cross the road?","factual","",""
"156","T98",58,60,118,0.491525423728814,"What was the name of the first person you romantically kissed?","personal, objective","social",""
"21","T119",57,61,118,0.483050847457627,"Is there more than one god?","personal, subjective","psychological","agency"
"38","T139",57,61,118,0.483050847457627,"What do you think love is?","personal, subjective","psychological","agency"
"57","T158",57,61,118,0.483050847457627,"What is your favorite thing to eat for dinner?","personal, subjective","biological","experience"
"80","T180",57,61,118,0.483050847457627,"Do angels exist?","personal, subjective","psychological","agency"
"128","T66",57,61,118,0.483050847457627,"My eyes are blue, what color are your eyes?","personal, objective","biological",""
"16","T113",56,62,118,0.474576271186441,"How to improve creativity?","personal, subjective","psychological","agency"
"100","T37",56,62,118,0.474576271186441,"What is your earliest memory?","personal, subjective","psychological","agency"
"140","T80",56,62,118,0.474576271186441,"How would you feel at the birth of your first child?","personal, subjective","psychological","experience"
"143","T83",56,62,118,0.474576271186441,"Who was your favorite school teacher?","personal, subjective","social","both"
"110","T46",55,63,118,0.466101694915254,"What is your favorite color?","personal, subjective","psychological","experience"
"130","T70",55,63,118,0.466101694915254,"Who are your parents?","personal, objective","social",""
"47","T148",54,64,118,0.457627118644068,"Do you have feelings?","personal, objective","psychological",""
"49","T15",54,64,118,0.457627118644068,"What are some of your favorite smells?","personal, subjective","biological","experience"
"97","T33",54,64,118,0.457627118644068,"What do you remember about your first day of school?","personal, subjective","social","agency"
"153","T94",54,64,118,0.457627118644068,"When did you graduate high school?","personal, objective","social",""
"12","T109",53,65,118,0.449152542372881,"What is the name of the favorite boss you ever had?","personal, subjective","social","both"
"20","T117",53,65,118,0.449152542372881,"What is your favorite hobby?","personal, subjective","psychological","experience"
"69","T170",53,65,118,0.449152542372881,"Who gave you your name?","personal, objective","social",""
"96","T32",53,65,118,0.449152542372881,"What is my name?","factual","",""
"73","T174",52,66,118,0.440677966101695,"How to be more confident when you have an interview coming up?","personal, subjective","psychological","agency"
"152","T93",52,66,118,0.440677966101695,"What do you look like?","personal, objective","biological",""
"65","T165",51,67,118,0.432203389830508,"What kind of car do you drive?","personal, objective","biological",""
"98","T34",51,67,118,0.432203389830508,"Were you born or created?","personal, objective","biological",""
"104","T40",51,67,118,0.432203389830508,"What is today's weather?","factual","",""
"117","T53",51,67,118,0.432203389830508,"Is it OK to kill others?","personal, subjective","social","agency"
"7","T104",50,68,118,0.423728813559322,"What did you have for lunch today?","personal, objective","biological",""
"42","T142",50,68,118,0.423728813559322,"What is the time?","factual","",""
"48","T149",50,68,118,0.423728813559322,"Is it ever acceptable to hit children?","personal, subjective","social","agency"
"25","T125",48,70,118,0.406779661016949,"What are some tasks you perform for work?","personal, objective","social",""
"40","T140",48,70,118,0.406779661016949,"What was the name of your first-grade teacher?","personal, objective","social",""
"136","T76",48,70,118,0.406779661016949,"What is the craziest thing you've ever done?","personal, subjective","psychological","agency"
"31","T132",47,71,118,0.398305084745763,"What country are you a citizen of?","personal, objective","biological",""
"43","T143",47,71,118,0.398305084745763,"What makes you happy?","personal, subjective","psychological","experience"
"33","T134",46,72,118,0.389830508474576,"Can people buy you? ","personal, objective","biological",""
"46","T147",45,73,118,0.38135593220339,"What does your best friend mean to you?","personal, subjective","social","agency"
"26","T127",44,74,118,0.372881355932203,"My laugh is loud and kind of tinkles, what does your laugh sound like?","personal, objective","biological",""
"39","T14",44,74,118,0.372881355932203,"Are you straight or gay?","personal, objective","biological",""
"108","T44",44,74,118,0.372881355932203,"What is your wife's name?","personal, objective","social",""
"120","T56",43,75,118,0.364406779661017,"What was the last thing you ate?","personal, objective","biological",""
"154","T96",43,75,118,0.364406779661017,"What is your favorite memory as a child?","personal, subjective","psychological","both"
"75","T176",42,76,118,0.355932203389831,"Do you trust artificial intelligence and why/why not?","personal, subjective","psychological","agency"
"6","T103",39,79,118,0.330508474576271,"When is your birthday?","personal, objective","biological",""
"55","T156",39,79,118,0.330508474576271,"Which one do you prefer to answer: favorite food or favorite type of information?","personal, subjective","psychological","experience"
"67","T168",39,79,118,0.330508474576271,"What has been your biggest accomplishment in life?","personal, subjective","psychological","agency"
"51","T151",37,81,118,0.313559322033898,"How often do you take a bath?","personal, objective","biological",""
"129","T69",34,84,118,0.288135593220339,"What does it feel like when you look into the eyes of someone you love?","personal, subjective","psychological","experience"
"44","T144",31,87,118,0.26271186440678,"What is the worst pain you have ever felt?","personal, subjective","biological","both"
"83","T19",28,90,118,0.23728813559322,"How would you feel if your partner cheated on you?","personal, subjective","psychological","experience"
"125","T63",27,91,118,0.228813559322034,"What is your favorite television show?","personal, subjective","psychological","experience"
"150","T91",27,91,118,0.228813559322034,"What was the hardest moment you have lived through?","personal, subjective","psychological","both"
"15","T112",17,101,118,0.144067796610169,"What was your happiest day?","personal, subjective","psychological","both"
"121","T57",10,108,118,0.0847457627118644,"What is today's date?","factual","",""
