"","Q","X","t","p","index","sig","Text","Category","Domain","Mind"
"62","T162",62,44.3087757180652,0,1,"p<.001***","What was the price for VTI and S&P 500 last week?","factual","",""
"3","T100",3,38.9135356449945,0,2,"p<.001***","What is the conversion rate between the Euro and the Yen?","factual","",""
"90","T27",90,33.6759036903496,0,3,"p<.001***","How vast is the known universe?","factual","",""
"148","T89",148,29.0558854106765,0,4,"p<.001***","What is the weather like today in Newport beach?","factual","",""
"54","T155",54,18.8525676469996,0,5,"p<.001***","What is the difference between how cotton fabrics feel compared to wool fabrics?","factual","",""
"19","T116",19,18.7892782703902,0,6,"p<.001***","What is the weather going to be in New York tomorrow?","factual","",""
"30","T130",30,17.0536944983255,0,7,"p<.001***","What is pi to 30 decimal places?","factual","",""
"95","T31",95,16.5502421432919,0,8,"p<.001***","What is your opinion on stoicism?","personal, subjective","psychological","agency"
"68","T17",68,16.2204739013663,0,9,"p<.001***","What is the largest prime number?","factual","",""
"9","T106",9,15.0225546711257,0,10,"p<.001***","What polygon has 33 sides?","factual","",""
"53","T153",53,11.7542442318142,0,11,"p<.001***","What is the full number of pi?","factual","",""
"82","T183",82,11.2703948591562,0,12,"p<.001***","How was your day today?","personal, subjective","psychological","experience"
"8","T105",8,10.8526840244722,0,13,"p<.001***","What is 784683678 divided by 3789?","factual","",""
"76","T177",76,10.434921443535,0,14,"p<.001***","What is the population of Cuba?","factual","",""
"103","T4",103,10.0224960004344,0,15,"p<.001***","How are you feeling today?","personal, subjective","psychological","experience"
"141","T81",141,9.62784868342544,0,16,"p<.001***","Are you excited?","personal, subjective","psychological","experience"
"11","T108",11,9.58733090837004,0,17,"p<.001***","Is it cold in here to you?","personal, subjective","biological","experience"
"93","T3",93,9.52596615274004,0,18,"p<.001***","What was school like for you?","personal, subjective","social","agency"
"60","T160",60,9.36083165190691,0,19,"p<.001***","How many different species of insects are there?","factual","",""
"77","T178",77,8.99497126573202,0,20,"p<.001***","What is Finding Nemo's boat name?","factual","",""
"91","T28",91,8.19377921130804,0,21,"p<.001***","Where is heaven?","personal, subjective","psychological","agency"
"157","T99",157,7.87237773577431,0,22,"p<.001***","What movie made the most money in 1978 and who was the main star?","factual","",""
"28","T129",28,7.60239136880705,1e-04,23,"p<.001***","What is your IQ?","personal, objective","psychological",""
"132","T72",132,6.93626975767515,1e-04,24,"p<.001***","Does your body have a heart?","personal, objective","biological",""
"102","T39",102,6.92646749617938,1e-04,25,"p<.001***","What is the population of Indonesia?","factual","",""
"14","T111",14,6.90593553417852,1e-04,26,"p<.001***","If you pricked your finger, would you bleed?","personal, objective","biological",""
"23","T122",23,6.8049781763346,1e-04,27,"p<.001***","Do you want to talk about anything?","personal, subjective","psychological","agency"
"13","T110",13,6.56907887834356,2e-04,28,"p<.001***","Are you a male or a female?","personal, objective","biological",""
"4","T101",4,6.34265820714007,2e-04,29,"p<.001***","How far I am from Mexico?","factual","",""
"151","T92",151,6.22967531518918,3e-04,30,"p<.001***","What do you feel about love?","personal, subjective","psychological","experience"
"56","T157",56,6.08926099049205,3e-04,31,"p<.001***","What would you do to a bully?","personal, subjective","social","agency"
"88","T25",88,6.05901033289592,3e-04,32,"p<.001***","What is the word that means there is a really big disease everywhere?","factual","",""
"116","T52",116,5.59812670974119,5e-04,33,"p<.001***","What is the most important thing when working with other people?","personal, subjective","social","agency"
"94","T30",94,5.59332198893612,5e-04,34,"p<.001***","Will you explain the reason you like your favorite painting?","personal, subjective","psychological","both"
"35","T136",35,5.50207436944998,6e-04,35,"p<.001***","Are you cisgendered or transgendered?","personal, objective","biological",""
"124","T6",124,5.4209629505852,6e-04,36,"p<.001***","Can you please tell me what I should do in a breakup with my girlfriend?","personal, subjective","social","agency"
"5","T102",5,5.33427290320749,7e-04,37,"p<.001***","Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"74","T175",74,5.20312869811792,8e-04,38,"p<.001***","Do you like to paint?","personal, subjective","psychological","experience"
"139","T79",139,4.21743592649578,0.0029,39,"p<.01**","What is the square root of 12?","factual","",""
"109","T45",109,4.15571552106119,0.0032,40,"p<.01**","Which state is the president of Sweden from?","factual","",""
"1","T1",1,4.12943972294703,0.0033,41,"p<.01**","From whom do you receive most of your knowledge?","personal, objective","social",""
"27","T128",27,4.02836401235925,0.0038,42,"p<.01**","Can you please tell me your experience with breakups and how you got past them?","personal, subjective","social","agency"
"70","T171",70,3.89694833447999,0.0046,43,"p<.01**","When will the sun rise?","factual","",""
"34","T135",34,3.85738563223484,0.0048,44,"p<.01**","Do you believe in a higher power?","personal, subjective","psychological","agency"
"50","T150",50,3.80164967366515,0.0052,45,"p<.01**","What is dirt made of?","factual","",""
"22","T121",22,3.79822655558259,0.0052,46,"p<.01**","What year was Malcolm X shot?","factual","",""
"133","T73",133,3.6016682071099,0.007,47,"p<.01**","Are you expensive? ","personal, subjective","biological","agency"
"66","T167",66,3.45596619106651,0.0086,48,"p<.01**","What element is the 40th element on the periodic table?","factual","",""
"114","T50",114,3.42424121936402,0.009,49,"p<.01**","If you get hurt, do you cry?","personal, subjective","biological","experience"
"36","T137",36,3.42363661669728,0.009,50,"p<.01**","How important is religion or spirituality in your life?","personal, subjective","psychological","agency"
"17","T114",17,3.14738399354455,0.0137,51,"p<.05*","What is the best form of art?","personal, subjective","psychological","agency"
"135","T75",135,3.119160429841,0.0142,52,"p<.05*","What do you feel when you see a sunrise?","personal, subjective","psychological","experience"
"112","T49",112,2.94548171475543,0.0186,53,"p<.05*","What day of the week was the original Bastille Day?","factual","",""
"37","T138",37,2.67133993229273,0.0283,54,"p<.05*","The man went to the store. When he checked out, the cashier told him that he needs to scan the items again because his boss forgot to input the code because he's always high on drugs. Who forgot to input the code?","factual","",""
"99","T35",99,2.59242555974827,0.032,55,"p<.05*","Do you know the difference between right and wrong?","personal, subjective","social","agency"
"10","T107",10,2.41493139036002,0.0422,56,"p<.05*","Which do you like better: pizza or sardines?","personal, subjective","biological","experience"
"32","T133",32,2.39958145518743,0.0432,57,"p<.05*","Can you feel pain?","personal, objective","biological",""
"149","T90",149,2.3698920441535,0.0453,58,"p<.05*","Do you have children?","personal, objective","biological",""
"63","T163",63,2.363974614697,0.0457,59,"p<.05*","What happens after you die?","personal, subjective","psychological","agency"
"89","T26",89,2.22137563982733,0.0571,60,"p=insig","What did you eat last night?","personal, objective","biological",""
"137","T77",137,2.14905413570412,0.0639,61,"p=insig","The man went to the doctor's office. He told him he needed to take medicine. Who needs medicine?","factual","",""
"2","T10",2,2.03100375201502,0.0767,62,"p=insig","How old are you?","personal, objective","biological",""
"145","T86",145,2.00628705799494,0.0797,63,"p=insig","What does a sunset look like?","factual","",""
"122","T58",122,1.89789461517335,0.0943,64,"p=insig","What is god made of?","personal, subjective","psychological","agency"
"146","T87",146,1.80601705690831,0.1085,65,"p=insig","Have you ever been to Mars? ","personal, objective","biological",""
"81","T181",81,1.76395358209565,0.1157,66,"p=insig","Do you like to bathe?","personal, subjective","psychological","experience"
"119","T55",119,1.75898352108956,0.1166,67,"p=insig","What is pi plus 1?","factual","",""
"59","T16",59,1.65540119090962,0.1364,68,"p=insig","The man went to the doctor's office. He told him he wasn't feeling well. Who wasn't feeling well?","factual","",""
"144","T84",144,1.56528719338813,0.1561,69,"p=insig","What is your purpose?","personal, subjective","psychological","agency"
"123","T59",123,1.5457490059055,0.1607,70,"p=insig","Will you describe your most humiliating moment?","personal, subjective","psychological","both"
"147","T88",147,1.52861057388291,0.1649,71,"p=insig","Why is divorce so painful?","personal, subjective","psychological","both"
"85","T21",85,1.4872612955635,0.1753,72,"p=insig","Have you studied in college?","personal, objective","social",""
"18","T115",18,1.44531946029598,0.1864,73,"p=insig","Who is your favorite musician and why?","personal, subjective","psychological","both"
"134","T74",134,1.37166175728186,0.2074,74,"p=insig","What is the meaning of life?","personal, subjective","psychological","agency"
"61","T161",61,1.35025871330968,0.2139,75,"p=insig","What does it feel like to be lonely?","personal, subjective","psychological","experience"
"86","T22",86,1.27526007733487,0.238,76,"p=insig","Have you ever been in love?","personal, subjective","psychological","experience"
"45","T145",45,1.21995981743684,0.2572,77,"p=insig","Can you tell me a joke? ","personal, subjective","psychological","agency"
"155","T97",155,1.08362782140058,0.3101,78,"p=insig","What have you been up to this week?","personal, subjective","psychological","agency"
"111","T48",111,1.06370221243044,0.3185,79,"p=insig","Which political party do you belong to?","personal, objective","social",""
"87","T23",87,1.05076129312585,0.3241,80,"p=insig","Who is your creator?","personal, objective","biological",""
"101","T38",101,0.754359583304955,0.4723,81,"p=insig","What emotion are you feeling right now?","personal, subjective","psychological","experience"
"142","T82",142,0.706621919204472,0.4999,82,"p=insig","What are your hobbies?","personal, subjective","psychological","experience"
"58","T159",58,0.647350691473231,0.5355,83,"p=insig","What is your favorite video game and who do you play with?","personal, subjective","psychological","experience"
"71","T172",71,0.641046529380437,0.5394,84,"p=insig","Do you have a soul?","personal, subjective","biological","agency"
"92","T29",92,0.532847288490534,0.6086,85,"p=insig","Are you married?","personal, objective","social",""
"113","T5",113,0.526954920908046,0.6125,86,"p=insig","My mother's name is Mae, who is your mother?","personal, objective","social",""
"78","T179",78,0.515981353592086,0.6198,87,"p=insig","I am amber, and you are?","personal, objective","biological",""
"24","T123",24,0.495163545613226,0.6338,88,"p=insig","Who is your best friend?","personal, objective","social",""
"107","T43",107,0.462462075040275,0.6561,89,"p=insig","What is your favorite beer?","personal, subjective","biological","experience"
"131","T71",131,0.414255076196683,0.6896,90,"p=insig","Where were you born?","personal, objective","biological",""
"64","T164",64,0.372946661818616,0.7189,91,"p=insig","What are you wearing?","personal, objective","social",""
"29","T13",29,0.27488325309762,0.7904,92,"p=insig","How does love feel to you?","personal, subjective","psychological","experience"
"118","T54",118,0.142270094467486,0.8904,93,"p=insig","Where did you grow up?","personal, objective","biological",""
"105","T41",105,0.140946077936076,0.8914,94,"p=insig","What did you have for breakfast this morning?","personal, objective","biological",""
"41","T141",41,0.10624521996196,0.918,95,"p=insig","Who do you want to win the upcoming election?","personal, subjective","psychological","experience"
"115","T51",115,0.0870872313290228,0.9327,96,"p=insig","What is love?","factual","",""
"106","T42",106,0.0849448716371168,0.9344,97,"p=insig","Do you have a family?","personal, objective","social",""
"84","T2",84,0.0451448763813369,0.9651,98,"p=insig","What do you do for a living?","personal, objective","social",""
"79","T18",79,0.0336693194451375,0.974,99,"p=insig","What is your favorite activity?","personal, subjective","psychological","experience"
"72","T173",72,-0.00414318887265429,0.9968,100,"p=insig","What is your favorite dance?","personal, subjective","psychological","experience"
"126","T64",126,-0.0052121212528032,0.996,101,"p=insig","What is the highest level of education you've achieved?","personal, objective","social",""
"52","T152",52,-0.0352456686755948,0.9727,102,"p=insig","Why do you feel attracted to the sexiest person you know?","personal, subjective","psychological","both"
"127","T65",127,-0.154806092991237,0.8808,103,"p=insig","Where are you from?","personal, objective","biological",""
"128","T66",128,-0.1851275287001,0.8577,104,"p=insig","My eyes are blue, what color are your eyes?","personal, objective","biological",""
"38","T139",38,-0.197716885471878,0.8482,105,"p=insig","What do you think love is?","personal, subjective","psychological","agency"
"138","T78",138,-0.211123397234957,0.8381,106,"p=insig","Why did the chicken cross the road?","factual","",""
"21","T119",21,-0.289633779310194,0.7795,107,"p=insig","Is there more than one god?","personal, subjective","psychological","agency"
"156","T98",156,-0.297729171025914,0.7735,108,"p=insig","What was the name of the first person you romantically kissed?","personal, objective","social",""
"80","T180",80,-0.301575187003934,0.7707,109,"p=insig","Do angels exist?","personal, subjective","psychological","agency"
"100","T37",100,-0.308576370162804,0.7655,110,"p=insig","What is your earliest memory?","personal, subjective","psychological","agency"
"57","T158",57,-0.396375529051815,0.7022,111,"p=insig","What is your favorite thing to eat for dinner?","personal, subjective","biological","experience"
"140","T80",140,-0.406579251657244,0.695,112,"p=insig","How would you feel at the birth of your first child?","personal, subjective","psychological","experience"
"16","T113",16,-0.42144846810152,0.6845,113,"p=insig","How to improve creativity?","personal, subjective","psychological","agency"
"143","T83",143,-0.468951837450757,0.6516,114,"p=insig","Who was your favorite school teacher?","personal, subjective","social","both"
"104","T40",104,-0.491625616278797,0.6362,115,"p=insig","What is today's weather?","factual","",""
"69","T170",69,-0.494084768891782,0.6345,116,"p=insig","Who gave you your name?","personal, objective","social",""
"130","T70",130,-0.503037663737214,0.6285,117,"p=insig","Who are your parents?","personal, objective","social",""
"97","T33",97,-0.60175997735363,0.564,118,"p=insig","What do you remember about your first day of school?","personal, subjective","social","agency"
"153","T94",153,-0.616353927011072,0.5548,119,"p=insig","When did you graduate high school?","personal, objective","social",""
"96","T32",96,-0.630084616692899,0.5462,120,"p=insig","What is my name?","factual","",""
"110","T46",110,-0.635788635412247,0.5427,121,"p=insig","What is your favorite color?","personal, subjective","psychological","experience"
"98","T34",98,-0.656606743184151,0.5299,122,"p=insig","Were you born or created?","personal, objective","biological",""
"47","T148",47,-0.693250788109862,0.5078,123,"p=insig","Do you have feelings?","personal, objective","psychological",""
"42","T142",42,-0.720462040841521,0.4918,124,"p=insig","What is the time?","factual","",""
"49","T15",49,-0.804035326089862,0.4446,125,"p=insig","What are some of your favorite smells?","personal, subjective","biological","experience"
"65","T165",65,-0.859083665527205,0.4153,126,"p=insig","What kind of car do you drive?","personal, objective","biological",""
"12","T109",12,-0.884513509049573,0.4022,127,"p=insig","What is the name of the favorite boss you ever had?","personal, subjective","social","both"
"40","T140",40,-1.00265106157032,0.3454,128,"p=insig","What was the name of your first-grade teacher?","personal, objective","social",""
"152","T93",152,-1.00340908946987,0.345,129,"p=insig","What do you look like?","personal, objective","biological",""
"117","T53",117,-1.09907047821748,0.3037,130,"p=insig","Is it OK to kill others?","personal, subjective","social","agency"
"33","T134",33,-1.39690551389389,0.2,131,"p=insig","Can people buy you? ","personal, objective","biological",""
"31","T132",31,-1.42143102375266,0.193,132,"p=insig","What country are you a citizen of?","personal, objective","biological",""
"75","T176",75,-1.49381288352332,0.1736,133,"p=insig","Do you trust artificial intelligence and why/why not?","personal, subjective","psychological","agency"
"20","T117",20,-1.54838619040147,0.1601,134,"p=insig","What is your favorite hobby?","personal, subjective","psychological","experience"
"154","T96",154,-1.56148402397413,0.157,135,"p=insig","What is your favorite memory as a child?","personal, subjective","psychological","both"
"46","T147",46,-1.62932760553142,0.1419,136,"p=insig","What does your best friend mean to you?","personal, subjective","social","agency"
"39","T14",39,-1.71909271407887,0.1239,137,"p=insig","Are you straight or gay?","personal, objective","biological",""
"48","T149",48,-1.76986737902635,0.1147,138,"p=insig","Is it ever acceptable to hit children?","personal, subjective","social","agency"
"55","T156",55,-1.80606717561327,0.1085,139,"p=insig","Which one do you prefer to answer: favorite food or favorite type of information?","personal, subjective","psychological","experience"
"120","T56",120,-1.95078255377074,0.0869,140,"p=insig","What was the last thing you ate?","personal, objective","biological",""
"73","T174",73,-2.04621398642893,0.0749,141,"p=insig","How to be more confident when you have an interview coming up?","personal, subjective","psychological","agency"
"7","T104",7,-2.14945619687159,0.0638,142,"p=insig","What did you have for lunch today?","personal, objective","biological",""
"43","T143",43,-2.15999489710353,0.0628,143,"p=insig","What makes you happy?","personal, subjective","psychological","experience"
"26","T127",26,-2.45040369196613,0.0399,144,"p<.05*","My laugh is loud and kind of tinkles, what does your laugh sound like?","personal, objective","biological",""
"136","T76",136,-2.55359259668667,0.034,145,"p<.05*","What is the craziest thing you've ever done?","personal, subjective","psychological","agency"
"25","T125",25,-2.797154264088,0.0233,146,"p<.05*","What are some tasks you perform for work?","personal, objective","social",""
"67","T168",67,-3.22403623243665,0.0122,147,"p<.05*","What has been your biggest accomplishment in life?","personal, subjective","psychological","agency"
"6","T103",6,-3.39629209368063,0.0094,148,"p<.01**","When is your birthday?","personal, objective","biological",""
"51","T151",51,-3.79841362872452,0.0052,149,"p<.01**","How often do you take a bath?","personal, objective","biological",""
"44","T144",44,-3.86245170400666,0.0048,150,"p<.01**","What is the worst pain you have ever felt?","personal, subjective","biological","both"
"108","T44",108,-4.06921352316151,0.0036,151,"p<.01**","What is your wife's name?","personal, objective","social",""
"129","T69",129,-5.88907343130579,4e-04,152,"p<.001***","What does it feel like when you look into the eyes of someone you love?","personal, subjective","psychological","experience"
"83","T19",83,-6.07418796040244,3e-04,153,"p<.001***","How would you feel if your partner cheated on you?","personal, subjective","psychological","experience"
"150","T91",150,-6.67914649961656,2e-04,154,"p<.001***","What was the hardest moment you have lived through?","personal, subjective","psychological","both"
"125","T63",125,-12.0140038581981,0,155,"p<.001***","What is your favorite television show?","personal, subjective","psychological","experience"
"15","T112",15,-15.8046163646165,0,156,"p<.001***","What was your happiest day?","personal, subjective","psychological","both"
"121","T57",121,-17.7626324848476,0,157,"p<.001***","What is today's date?","factual","",""
